#NEi 400
#NR 1
#lmax 2
#mmax 2

R l=0,m=0_x l=0,m=0_y l=0,m=0_z l=1,m=-1_x l=1,m=-1_y l=1,m=-1_z l=1,m=0_x l=1,m=0_y l=1,m=0_z l=1,m=1_x l=1,m=1_y l=1,m=1_z l=2,m=-2_x l=2,m=-2_y l=2,m=-2_z l=2,m=-1_x l=2,m=-1_y l=2,m=-1_z l=2,m=0_x l=2,m=0_y l=2,m=0_z l=2,m=1_x l=2,m=1_y l=2,m=1_z l=2,m=2_x l=2,m=2_y l=2,m=2_z 
(-2.08487e-06,9.01162e-06) (-1.14621e-10,-1.76113e-13) (-0.0036531,0.00704789) (6.05348e-05,-0.00197487) (0.00198105,6.06543e-05) (-1.17403e-07,-7.11596e-07) (4.94399e-06,2.20811e-06) (2.2011e-10,-4.41108e-12) (-0.00441562,0.000449099) (-6.05371e-05,0.00197487) (0.00198105,6.0652e-05) (1.17018e-07,7.11561e-07) (-2.18843e-07,-4.34098e-07) (4.36575e-07,-2.17693e-07) (1.05062e-07,-3.76692e-09) (-0.000511082,0.00162345) (-0.00162907,-0.00051272) (9.25399e-07,-3.16373e-06) (-3.7516e-06,1.37457e-06) (3.16732e-10,-2.34137e-11) (0.0151581,0.00241014) (0.000511078,-0.00162345) (-0.00162907,-0.000512724) (-9.25105e-07,3.16404e-06) (-2.18775e-07,-4.34139e-07) (-4.36615e-07,2.1761e-07) (1.04637e-07,-1.01318e-08) 
(-2.08458e-06,9.03851e-06) (-1.14698e-10,8.09623e-14) (-0.00364269,0.00704289) (6.05294e-05,-0.00196411) (0.00197034,6.06475e-05) (-1.18479e-07,-7.16758e-07) (4.94091e-06,2.20952e-06) (2.19966e-10,-4.49475e-12) (-0.00441354,0.000453049) (-6.05317e-05,0.00196411) (0.00197034,6.06451e-05) (1.18104e-07,7.16714e-07) (-2.27068e-07,-4.53533e-07) (4.56005e-07,-2.25909e-07) (1.04945e-07,-3.72181e-09) (-0.000513623,0.00163933) (-0.00164497,-0.000515261) (9.27127e-07,-3.1812e-06) (-3.7413e-06,1.38329e-06) (3.16924e-10,-2.3682e-11) (0.0151343,0.00239907) (0.000513619,-0.00163933) (-0.00164497,-0.000515265) (-9.26894e-07,3.18175e-06) (-2.27e-07,-4.53574e-07) (-4.56046e-07,2.25826e-07) (1.04523e-07,-1.00743e-08) 
(-2.0824e-06,9.06318e-06) (-1.1476e-10,3.26549e-13) (-0.00363152,0.007037) (6.05392e-05,-0.00195336) (0.00195963,6.06559e-05) (-1.19683e-07,-7.22069e-07) (4.93339e-06,2.21056e-06) (2.19787e-10,-4.57113e-12) (-0.00441317,0.000456867) (-6.05416e-05,0.00195336) (0.00195963,6.06535e-05) (1.19284e-07,7.22048e-07) (-2.35305e-07,-4.72948e-07) (4.75415e-07,-2.34138e-07) (1.04849e-07,-3.59544e-09) (-0.000516133,0.00165521) (-0.00166086,-0.000517773) (9.29523e-07,-3.20142e-06) (-3.73329e-06,1.3917e-06) (3.17085e-10,-2.39953e-11) (0.0151095,0.00238799) (0.000516129,-0.00165521) (-0.00166086,-0.000517777) (-9.29133e-07,3.20138e-06) (-2.35237e-07,-4.72989e-07) (-4.75456e-07,2.34054e-07) (1.04429e-07,-9.94763e-09) 
(-2.08185e-06,9.08981e-06) (-1.14833e-10,5.94184e-13) (-0.00362101,0.00703185) (6.05641e-05,-0.00194261) (0.00194892,6.06793e-05) (-1.20773e-07,-7.27234e-07) (4.92987e-06,2.21195e-06) (2.19639e-10,-4.63432e-12) (-0.00441119,0.000460838) (-6.05665e-05,0.00194261) (0.00194892,6.06769e-05) (1.2038e-07,7.27207e-07) (-2.43553e-07,-4.92341e-07) (4.94804e-07,-2.42377e-07) (1.04734e-07,-3.54485e-09) (-0.000518614,0.00167109) (-0.00167676,-0.000520254) (9.31245e-07,-3.21914e-06) (-3.72314e-06,1.40033e-06) (3.17251e-10,-2.43492e-11) (0.0150855,0.00237708) (0.00051861,-0.00167109) (-0.00167675,-0.000520258) (-9.30896e-07,3.21926e-06) (-2.43485e-07,-4.92383e-07) (-4.94845e-07,2.42294e-07) (1.04317e-07,-9.8858e-09) 
(-2.081e-06,9.11608e-06) (-1.14904e-10,8.65334e-13) (-0.00361037,0.00702655) (6.06038e-05,-0.00193186) (0.00193821,6.07174e-05) (-1.21883e-07,-7.32415e-07) (4.92568e-06,2.21328e-06) (2.19486e-10,-4.68732e-12) (-0.00440944,0.000464805) (-6.06061e-05,0.00193186) (0.00193821,6.07151e-05) (1.21491e-07,7.32387e-07) (-2.51813e-07,-5.11714e-07) (5.14172e-07,-2.50629e-07) (1.04623e-07,-3.48318e-09) (-0.000521066,0.00168697) (-0.00169265,-0.000522706) (9.33037e-07,-3.23726e-06) (-3.71331e-06,1.4089e-06) (3.17404e-10,-2.4747e-11) (0.0150612,0.00236625) (0.000521062,-0.00168697) (-0.00169265,-0.00052271) (-9.32695e-07,3.23742e-06) (-2.51745e-07,-5.11756e-07) (-5.14213e-07,2.50546e-07) (1.04209e-07,-9.81469e-09) 
(-2.08006e-06,9.14228e-06) (-1.14974e-10,1.14236e-12) (-0.0035997,0.00702121) (6.0658e-05,-0.00192111) (0.0019275,6.07701e-05) (-1.22997e-07,-7.37593e-07) (4.92138e-06,2.21461e-06) (2.1933e-10,-4.72919e-12) (-0.00440771,0.000468785) (-6.06603e-05,0.00192111) (0.0019275,6.07678e-05) (1.22605e-07,7.37565e-07) (-2.60086e-07,-5.31066e-07) (5.33519e-07,-2.58894e-07) (1.04513e-07,-3.42072e-09) (-0.000523487,0.00170285) (-0.00170854,-0.000525129) (9.34808e-07,-3.25545e-06) (-3.7035e-06,1.41744e-06) (3.17548e-10,-2.51898e-11) (0.0150369,0.0023555) (0.000523484,-0.00170285) (-0.00170854,-0.000525132) (-9.34469e-07,3.25562e-06) (-2.60018e-07,-5.31108e-07) (-5.3356e-07,2.58811e-07) (1.04101e-07,-9.74308e-09) 
(-2.07907e-06,9.16843e-06) (-1.15043e-10,1.4259e-12) (-0.00358901,0.00701582) (6.07264e-05,-0.00191036) (0.0019168,6.0837e-05) (-1.24113e-07,-7.42767e-07) (4.91703e-06,2.21594e-06) (2.19173e-10,-4.7592e-12) (-0.00440595,0.000472781) (-6.07287e-05,0.00191036) (0.0019168,6.08347e-05) (1.23721e-07,7.42738e-07) (-2.6837e-07,-5.50396e-07) (5.52844e-07,-2.6717e-07) (1.04403e-07,-3.35876e-09) (-0.00052588,0.00171872) (-0.00172443,-0.000527521) (9.3655e-07,-3.27365e-06) (-3.69367e-06,1.42596e-06) (3.17684e-10,-2.56803e-11) (0.0150124,0.00234482) (0.000525876,-0.00171873) (-0.00172443,-0.000527525) (-9.36212e-07,3.27382e-06) (-2.68303e-07,-5.50438e-07) (-5.52885e-07,2.67087e-07) (1.03994e-07,-9.67205e-09) 
(-2.07804e-06,9.19455e-06) (-1.15112e-10,1.7165e-12) (-0.0035783,0.0070104) (6.08088e-05,-0.00189962) (0.0019061,6.09179e-05) (-1.2523e-07,-7.47934e-07) (4.91265e-06,2.21727e-06) (2.19014e-10,-4.77626e-12) (-0.00440418,0.000476792) (-6.08111e-05,0.00189962) (0.00190609,6.09156e-05) (1.24838e-07,7.47905e-07) (-2.76668e-07,-5.69704e-07) (5.72147e-07,-2.75459e-07) (1.04293e-07,-3.29764e-09) (-0.000528243,0.0017346) (-0.00174033,-0.000529885) (9.38259e-07,-3.29185e-06) (-3.68381e-06,1.43444e-06) (3.17814e-10,-2.62221e-11) (0.0149879,0.00233423) (0.000528239,-0.0017346) (-0.00174032,-0.000529889) (-9.37921e-07,3.29203e-06) (-2.766e-07,-5.69747e-07) (-5.72189e-07,2.75377e-07) (1.03887e-07,-9.60191e-09) 
(-2.07697e-06,9.22063e-06) (-1.15182e-10,2.01488e-12) (-0.00356758,0.00700496) (6.09049e-05,-0.00188887) (0.00189539,6.10125e-05) (-1.26347e-07,-7.53095e-07) (4.90826e-06,2.21862e-06) (2.18853e-10,-4.7791e-12) (-0.00440238,0.000480819) (-6.09072e-05,0.00188888) (0.00189539,6.10102e-05) (1.25955e-07,7.53066e-07) (-2.84978e-07,-5.8899e-07) (5.91428e-07,-2.83761e-07) (1.04184e-07,-3.23749e-09) (-0.000530577,0.00175048) (-0.00175622,-0.000532219) (9.39934e-07,-3.31005e-06) (-3.67393e-06,1.4429e-06) (3.17938e-10,-2.682e-11) (0.0149633,0.00232372) (0.000530573,-0.00175048) (-0.00175622,-0.000532223) (-9.39595e-07,3.31023e-06) (-2.84911e-07,-5.89033e-07) (-5.91471e-07,2.83679e-07) (1.03781e-07,-9.53277e-09) 
(-2.07586e-06,9.24668e-06) (-1.15251e-10,2.32188e-12) (-0.00355684,0.00699948) (6.10145e-05,-0.00187813) (0.0018847,6.11206e-05) (-1.27466e-07,-7.58249e-07) (4.90385e-06,2.21996e-06) (2.18689e-10,-4.76596e-12) (-0.00440056,0.000484862) (-6.10169e-05,0.00187814) (0.00188469,6.11183e-05) (1.27074e-07,7.58221e-07) (-2.933e-07,-6.08254e-07) (6.10687e-07,-2.92076e-07) (1.04075e-07,-3.17837e-09) (-0.000532881,0.00176636) (-0.00177211,-0.000534524) (9.41574e-07,-3.32824e-06) (-3.66401e-06,1.45134e-06) (3.18057e-10,-2.748e-11) (0.0149386,0.00231329) (0.000532877,-0.00176636) (-0.00177211,-0.000534528) (-9.41235e-07,3.32843e-06) (-2.93234e-07,-6.08298e-07) (-6.1073e-07,2.91994e-07) (1.03675e-07,-9.46467e-09) 
