#NEi 400
#NR 1
#lmax 2
#mmax 2

R l=0,m=0_x l=0,m=0_y l=0,m=0_z l=1,m=-1_x l=1,m=-1_y l=1,m=-1_z l=1,m=0_x l=1,m=0_y l=1,m=0_z l=1,m=1_x l=1,m=1_y l=1,m=1_z l=2,m=-2_x l=2,m=-2_y l=2,m=-2_z l=2,m=-1_x l=2,m=-1_y l=2,m=-1_z l=2,m=0_x l=2,m=0_y l=2,m=0_z l=2,m=1_x l=2,m=1_y l=2,m=1_z l=2,m=2_x l=2,m=2_y l=2,m=2_z 
1.0 (1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
(1.96638e-06,-1.40222e-05) (1.72592e-10,1.03964e-10) (0.00273515,-0.0018538) (-0.00288259,-0.0039598) (0.00393811,-0.00286683) (-2.29374e-07,-4.84335e-07) (-1.61169e-06,-2.71952e-06) (-2.93715e-11,-1.03919e-10) (-0.0030427,0.006056) (0.0028826,0.00395981) (0.0039381,-0.00286682) (2.29461e-07,4.84379e-07) (5.14905e-06,2.49663e-06) (-2.49531e-06,5.15569e-06) (-3.07132e-08,-1.71462e-08) (0.00280437,0.00383482) (-0.00383409,0.00280431) (6.26775e-06,8.29983e-06) (-8.7682e-06,-1.53244e-05) (7.85272e-11,7.02937e-11) (-0.00119589,-0.000250607) (-0.00280437,-0.00383483) (-0.00383408,0.00280431) (-6.26771e-06,-8.30005e-06) (5.1489e-06,2.49686e-06) (2.49553e-06,-5.15553e-06) (-3.408e-08,-1.52969e-08) 
